lambda,Trans5mm,Alpha
643.6619718,0.890677966,23.15446932
645.0704225,0.894067797,22.39473431
646.4788732,0.894915254,22.20525064
647.8873239,0.895762712,22.01594632
649.2957746,0.895762712,22.01594632
650.7042254,0.895762712,22.01594632
652.1126761,0.895762712,22.01594632
653.5211268,0.895762712,22.01594632
654.9295775,0.895762712,22.01594632
656.3380282,0.895762712,22.01594632
657.7464789,0.895762712,22.01594632
659.1549296,0.895762712,22.01594632
660.5633803,0.895762712,22.01594632
661.971831,0.895762712,22.01594632
663.3802817,0.895762712,22.01594632
664.7887324,0.895762712,22.01594632
666.1971831,0.894067797,22.39473431
667.6056338,0.892372881,22.77424107
669.0140845,0.888983051,23.53542181
670.4225352,0.883898305,24.68265249
671.8309859,0.877966102,26.02945893
673.2394366,0.870338983,27.77450151
674.6478873,0.860169492,30.1251652
676.056338,0.850847458,32.30448344
677.4647887,0.843220339,34.10539606
678.8732394,0.83559322,35.92267257
680.2816901,0.827118644,37.96142621
681.6901408,0.816101695,40.64326113
683.0985915,0.805932203,43.15113098
684.5070423,0.791525424,46.75865585
685.915493,0.780508475,49.56193624
687.3239437,0.774576271,51.0878292
688.7323944,0.783898305,48.69519599
690.1408451,0.798305085,45.05288858
691.5492958,0.818644068,40.02117665
692.9577465,0.837288136,35.51740394
694.3661972,0.851694915,32.10537939
695.7746479,0.862711864,29.53490407
697.1830986,0.870338983,27.77450151
698.5915493,0.877966102,26.02945893
700,0.884745763,24.4909898
701.4084507,0.888135593,23.72617052
702.8169014,0.891525424,22.96426483
704.2253521,0.892372881,22.77424107
705.6338028,0.894067797,22.39473431
707.0422535,0.894915254,22.20525064
708.4507042,0.895762712,22.01594632
709.8591549,0.895762712,22.01594632
711.2676056,0.895762712,22.01594632
712.6760563,0.895762712,22.01594632
714.084507,0.894067797,22.39473431
715.4929577,0.893220339,22.58439767
716.9014085,0.892372881,22.77424107
718.3098592,0.891525424,22.96426483
719.7183099,0.890677966,23.15446932
721.1267606,0.888135593,23.72617052
722.5352113,0.886440678,24.10821457
723.943662,0.883898305,24.68265249
725.3521127,0.880508475,25.45114527
726.7605634,0.873728814,26.99704669
728.1690141,0.86779661,28.35958237
729.5774648,0.855932203,31.11282152
730.9859155,0.843220339,34.10539606
732.3943662,0.818644068,40.02117665
733.8028169,0.772033898,51.74536404
735.2112676,0.686440678,75.24709396
736.6197183,0.552542373,118.6450311
738.028169,0.416125908,175.3534802
739.4366197,0.318644068,228.7361148
740.8450704,0.23559322,289.1297208
742.2535211,0.224576271,298.7079783
743.6619718,0.21779661,304.8387265
745.0704225,0.202542373,319.3612331
746.4788732,0.179661017,343.3366886
747.8873239,0.156779661,370.5827785
749.2957746,0.13559322,399.6191804
750.7042254,0.125423729,415.2114887
752.1126761,0.138135593,395.9039033
753.5211268,0.173728814,350.0519477
754.9295775,0.227118644,296.4565474
756.3380282,0.296640709,243.0467216
757.7464789,0.380508475,193.2493659
759.1549296,0.454237288,157.8271113
760.5633803,0.518644068,131.307487
761.971831,0.578813559,109.3549716
763.3802817,0.629760718,92.48306894
764.7887324,0.679661017,77.23222192
766.1971831,0.722033898,65.13663813
